year,direction,count
2017,Deep Reinforcement Learning,812
2018,Deep Reinforcement Learning,1927
2019,Deep Reinforcement Learning,3425
2020,Deep Reinforcement Learning,4974
2021,Deep Reinforcement Learning,6640
2022,Deep Reinforcement Learning,7922
2023,Deep Reinforcement Learning,9972
2024,Deep Reinforcement Learning,9431
2025,Deep Reinforcement Learning,8146
2010,Prompt Engineering,212
2011,Prompt Engineering,202
2012,Prompt Engineering,228
2013,Prompt Engineering,228
2014,Prompt Engineering,245
2015,Prompt Engineering,333
2016,Prompt Engineering,323
2017,Prompt Engineering,313
2018,Prompt Engineering,399
2019,Prompt Engineering,381
2020,Prompt Engineering,850
2021,Prompt Engineering,457
2022,Prompt Engineering,571
2023,Prompt Engineering,1481
2024,Prompt Engineering,2925
2025,Prompt Engineering,2772
2010,Instruction Tuning,88
2011,Instruction Tuning,105
2012,Instruction Tuning,136
2013,Instruction Tuning,145
2014,Instruction Tuning,167
2015,Instruction Tuning,207
2016,Instruction Tuning,218
2017,Instruction Tuning,157
2018,Instruction Tuning,189
2019,Instruction Tuning,205
2020,Instruction Tuning,230
2021,Instruction Tuning,234
2022,Instruction Tuning,376
2023,Instruction Tuning,1749
2024,Instruction Tuning,3356
2025,Instruction Tuning,2157
2010,AI Alignment,16
2011,AI Alignment,16
2012,AI Alignment,23
2013,AI Alignment,16
2014,AI Alignment,14
2015,AI Alignment,30
2016,AI Alignment,26
2017,AI Alignment,42
2018,AI Alignment,64
2019,AI Alignment,86
2020,AI Alignment,146
2021,AI Alignment,197
2022,AI Alignment,313
2023,AI Alignment,727
2024,AI Alignment,1572
2025,AI Alignment,3619
2010,RLHF,31
2011,RLHF,15
2012,RLHF,16
2013,RLHF,19
2014,RLHF,36
2015,RLHF,32
2016,RLHF,43
2017,RLHF,63
2018,RLHF,81
2019,RLHF,74
2020,RLHF,100
2021,RLHF,121
2022,RLHF,128
2023,RLHF,538
2024,RLHF,1092
2025,RLHF,793
2010,Multimodal Learning,2978
2011,Multimodal Learning,3240
2012,Multimodal Learning,3431
2013,Multimodal Learning,3780
2014,Multimodal Learning,4264
2015,Multimodal Learning,4584
2016,Multimodal Learning,5033
2017,Multimodal Learning,5598
2018,Multimodal Learning,6520
2019,Multimodal Learning,7844
2020,Multimodal Learning,9631
2021,Multimodal Learning,11548
2022,Multimodal Learning,14055
2023,Multimodal Learning,18797
2024,Multimodal Learning,20721
2025,Multimodal Learning,22279
2010,Few-shot Learning,418
2011,Few-shot Learning,477
2012,Few-shot Learning,477
2013,Few-shot Learning,500
2014,Few-shot Learning,548
2015,Few-shot Learning,532
2016,Few-shot Learning,559
2017,Few-shot Learning,710
2018,Few-shot Learning,1050
2019,Few-shot Learning,1842
2020,Few-shot Learning,3156
2021,Few-shot Learning,5326
2022,Few-shot Learning,7144
2023,Few-shot Learning,9939
2024,Few-shot Learning,10038
2025,Few-shot Learning,7592
2010,Self-supervised Learning,1904
2011,Self-supervised Learning,1898
2012,Self-supervised Learning,2207
2013,Self-supervised Learning,2316
2014,Self-supervised Learning,2591
2015,Self-supervised Learning,2595
2016,Self-supervised Learning,2649
2017,Self-supervised Learning,2923
2018,Self-supervised Learning,3856
2019,Self-supervised Learning,5277
2020,Self-supervised Learning,8348
2021,Self-supervised Learning,12408
2022,Self-supervised Learning,15573
2023,Self-supervised Learning,19995
2024,Self-supervised Learning,17866
2025,Self-supervised Learning,12624
2010,Contrastive Learning,2788
2011,Contrastive Learning,2820
2012,Contrastive Learning,3110
